SCATS_Number,Time,Average_Traffic_Volume
970,00:00,37.11
970,00:15,32.46
970,00:30,26.45
970,00:45,22.50
970,01:00,19.15
970,01:15,17.03
970,01:30,15.39
970,01:45,12.49
970,02:00,11.37
970,02:15,10.11
970,02:30,9.54
970,02:45,9.37
970,03:00,8.54
970,03:15,8.54
970,03:30,8.85
970,03:45,8.37
970,04:00,10.04
970,04:15,10.01
970,04:30,11.83
970,04:45,11.51
970,05:00,14.64
970,05:15,20.72
970,05:30,29.33
970,05:45,39.70
970,06:00,53.95
970,06:15,80.39
970,06:30,121.28
970,06:45,136.63
970,07:00,154.26
970,07:15,197.61
970,07:30,225.46
970,07:45,241.84
970,08:00,249.58
970,08:15,253.33
970,08:30,254.62
970,08:45,247.63
970,09:00,223.81
970,09:15,220.11
970,09:30,215.99
970,09:45,212.57
970,10:00,199.27
970,10:15,201.34
970,10:30,208.24
970,10:45,207.21
970,11:00,208.29
970,11:15,212.54
970,11:30,217.07
970,11:45,219.78
970,12:00,224.05
970,12:15,224.72
970,12:30,223.50
970,12:45,218.54
970,13:00,219.54
970,13:15,221.68
970,13:30,223.09
970,13:45,223.21
970,14:00,221.92
970,14:15,226.50
970,14:30,227.72
970,14:45,230.50
970,15:00,240.31
970,15:15,250.63
970,15:30,254.59
970,15:45,261.85
970,16:00,268.46
970,16:15,279.46
970,16:30,278.39
970,16:45,275.77
970,17:00,280.20
970,17:15,291.76
970,17:30,294.89
970,17:45,289.12
970,18:00,275.63
970,18:15,266.54
970,18:30,233.32
970,18:45,210.86
970,19:00,187.33
970,19:15,177.61
970,19:30,154.55
970,19:45,135.31
970,20:00,125.35
970,20:15,115.76
970,20:30,108.31
970,20:45,108.97
970,21:00,112.39
970,21:15,109.67
970,21:30,99.25
970,21:45,91.99
970,22:00,88.12
970,22:15,78.50
970,22:30,72.65
970,22:45,66.38
970,23:00,61.20
970,23:15,53.22
970,23:30,46.28
970,23:45,40.08
2000,00:00,50.36
2000,00:15,44.33
2000,00:30,36.96
2000,00:45,31.40
2000,01:00,27.61
2000,01:15,24.68
2000,01:30,22.01
2000,01:45,18.28
2000,02:00,16.96
2000,02:15,15.91
2000,02:30,15.30
2000,02:45,15.04
2000,03:00,13.93
2000,03:15,13.68
2000,03:30,13.71
2000,03:45,14.08
2000,04:00,13.59
2000,04:15,15.01
2000,04:30,16.32
2000,04:45,20.18
2000,05:00,22.17
2000,05:15,32.56
2000,05:30,46.84
2000,05:45,57.08
2000,06:00,77.80
2000,06:15,119.41
2000,06:30,162.25
2000,06:45,178.86
2000,07:00,194.68
2000,07:15,229.76
2000,07:30,249.54
2000,07:45,259.75
2000,08:00,263.68
2000,08:15,269.46
2000,08:30,268.24
2000,08:45,258.83
2000,09:00,236.66
2000,09:15,227.04
2000,09:30,220.13
2000,09:45,217.61
2000,10:00,206.22
2000,10:15,204.11
2000,10:30,208.03
2000,10:45,207.82
2000,11:00,203.79
2000,11:15,210.47
2000,11:30,214.68
2000,11:45,219.30
2000,12:00,216.54
2000,12:15,221.78
2000,12:30,219.70
2000,12:45,219.25
2000,13:00,218.73
2000,13:15,221.04
2000,13:30,222.11
2000,13:45,221.04
2000,14:00,222.80
2000,14:15,222.79
2000,14:30,226.48
2000,14:45,224.55
2000,15:00,234.57
2000,15:15,241.10
2000,15:30,242.81
2000,15:45,248.43
2000,16:00,266.32
2000,16:15,275.43
2000,16:30,283.93
2000,16:45,285.11
2000,17:00,290.94
2000,17:15,304.47
2000,17:30,302.43
2000,17:45,302.25
2000,18:00,296.15
2000,18:15,284.77
2000,18:30,254.55
2000,18:45,226.68
2000,19:00,204.80
2000,19:15,192.23
2000,19:30,169.16
2000,19:45,153.11
2000,20:00,138.84
2000,20:15,132.55
2000,20:30,123.03
2000,20:45,121.37
2000,21:00,125.38
2000,21:15,124.47
2000,21:30,116.89
2000,21:45,113.73
2000,22:00,108.83
2000,22:15,100.89
2000,22:30,92.60
2000,22:45,83.27
2000,23:00,75.95
2000,23:15,68.96
2000,23:30,63.11
2000,23:45,52.17
2200,00:00,19.65
2200,00:15,16.69
2200,00:30,14.19
2200,00:45,12.56
2200,01:00,10.37
2200,01:15,8.28
2200,01:30,7.74
2200,01:45,6.01
2200,02:00,5.23
2200,02:15,5.00
2200,02:30,4.66
2200,02:45,4.79
2200,03:00,4.72
2200,03:15,4.20
2200,03:30,4.26
2200,03:45,4.49
2200,04:00,4.16
2200,04:15,5.52
2200,04:30,5.69
2200,04:45,7.16
2200,05:00,8.52
2200,05:15,10.38
2200,05:30,13.58
2200,05:45,17.62
2200,06:00,23.70
2200,06:15,39.53
2200,06:30,55.08
2200,06:45,71.06
2200,07:00,93.67
2200,07:15,113.81
2200,07:30,127.33
2200,07:45,136.50
2200,08:00,143.35
2200,08:15,149.94
2200,08:30,147.12
2200,08:45,149.18
2200,09:00,132.48
2200,09:15,123.41
2200,09:30,118.97
2200,09:45,119.15
2200,10:00,115.43
2200,10:15,116.51
2200,10:30,117.57
2200,10:45,119.28
2200,11:00,118.14
2200,11:15,117.12
2200,11:30,123.56
2200,11:45,125.87
2200,12:00,126.81
2200,12:15,127.96
2200,12:30,125.44
2200,12:45,125.69
2200,13:00,123.40
2200,13:15,123.47
2200,13:30,123.03
2200,13:45,121.69
2200,14:00,123.48
2200,14:15,125.89
2200,14:30,123.20
2200,14:45,131.22
2200,15:00,135.16
2200,15:15,146.35
2200,15:30,141.41
2200,15:45,146.66
2200,16:00,147.69
2200,16:15,147.63
2200,16:30,145.73
2200,16:45,144.19
2200,17:00,150.72
2200,17:15,159.45
2200,17:30,158.37
2200,17:45,161.90
2200,18:00,156.12
2200,18:15,147.90
2200,18:30,137.17
2200,18:45,123.06
2200,19:00,113.91
2200,19:15,106.35
2200,19:30,90.65
